,Date,Tweet,User
0,2021-07-21 23:59:53,"@jokowi Kami sekeluarga dari awal covid sdh prokes pak... Tapi usaha kami goyah... 
Anak harus berhenti kuliah, penggurangan karyawan anak kami yg satunya. 
Usaha nggak jalan. 
Apapun yg ada di rumah yg bisa untuk menghasilkan uang kita jual. Makan senin-kamis.",Sulis
1,2021-07-21 23:59:49,"Pemerintah 'Nunggak' Bayar Klaim Covid-19 ke RS Rp22,08 T

 https://t.co/NjR9ANxabv",Saitama
2,2021-07-21 23:59:47,@CTNurza @DoktorSamhan Masalahnya manusia yg tak berakal tidak berotak je tak nak faham. Pemikiran liw class menganggap doktor sengaja bunuh pesakit covid dgn tidurkan mereka,Love Palestine🇵🇸
3,2021-07-21 23:59:44,"Ketawa saja bung @Dennysiregar7 , mereka itu orang-orang yg kurang paham, aku ga tega mau bicara bodoh. Mereka harus diberi pencerahan agar sadar bahwa mereka itu keliru. 

Dan yg terpenting cari aktor intelektual yg selama ini membuat gaduh dalam menyikapi wabah COVID-19. https://t.co/y9sznXH8T1",yahya sukardi 2017
4,2021-07-21 23:59:41,"Aku iki cuma overthinking ae. Gumun juga klo ndek jalan liat bapak ibunya pake masker, anaknya nggak di pakein masker. Egois sekali pak buk ya allah

Dikira covid tu klo ngenain orang pilih2 kali ya,  gakmau klo nyerang anak2.

HADEHHH YOWES GAK USAH TAK PIKIR, GUDUK ANAKKU AE.",Lidia Darwin
5,2021-07-21 23:59:41,"Anak bayi iku sebisa mungkin gak di bawa keluar rumah. Ibunya ya wajib ndekem juga didalam rumah. Merawat bayi yg sampe kena covid iku akan susah, mau gak mau ya ibunya tetep rawat, kan? Makane talaaah, ketimbang susah sendiri, jaga o dirimu baik2.",Lidia Darwin
6,2021-07-21 23:59:34,"Betul. Jangan terus jump the gun salahkan pihak yang lain, padahal banyak pihak boleh terlibat. Lebih² lagi wad covid yg ceitical, mmg x da masa nak tgk barangan apa yang patient tertinggal https://t.co/vM52xJljO8",Double A #TerbangCharity #ProjekTerbang
7,2021-07-21 23:59:33,@AREAJULID Positif covid nanti nangisssss!!!,Ava Korut
8,2021-07-21 23:59:32,"KM Umsini Jadi Lokasi Isolasi Pasien Covid-19, Saat Beroperasi Akan Disemprot Disinfektan https://t.co/NDhOkVGmP7",Dari Laut
9,2021-07-21 23:59:30,"Pendamping desa membantu vaksinasi di desa dan puskesmas setempat, tracing saat warga desa terkena COVID-19, penyaluran BLT Dana Desa dan bantuan sembako https://t.co/n56ewpex3b",detikcom
