,id,url,title,content,Label
0,0,https://www.tribunnews.com/bisnis/2020/10/06/sektor-pertanian-tumbuh-signifikan-di-saat-yang-lain-tumbang-ini-kata-presiden,"
						Sektor Pertanian Tumbuh Signifikan di Saat Yang Lain Tumbang, Ini Kata Presiden 					","b'TRIBUNNEWS.COM, JAKARTA -- Pemerintah optimistis sektor pertanian bakal menjadi penyangga pertumbuhan di tengah krisis pandemi Covid-19. Presiden Jokowi menyatakan pertumbuhan sektor pertanianmengalami pertumbuhan di saat sektor lainnya berjatuhan. Bahkan berdasarkan laporan Badan Pusat Statistik (BPS), pertanian di Indonesia tumbuh 16,24 persen pada kuartal kedua dibanding kuartal sebelumnya. Sedangkan secara tahunan pertumbuhannya sebesar 2,19 persen. ""Pertumbuhan positif di sektor pertanian perlu kita jaga momentumnya agar bisa memberi dampak signifikan terhadap kesejahteraan petani dan nelayan,"" kata Presiden Joko WSidodo pada rapat terbatas virtual di Isana Kepresidenan,Bogor, Selasa (6/10/2020). Baca: Mentan SYL Pantau Produktivitas Pertanian di Pulau Buru Jokowi juga mengingatkan, di tengah wabah ini pertanian telah menyumbangkan yang tertinggi untuk ekonomi nasional di saat terjadi perlambatan. Kepada kementerian terkait, Jokowi minta agar segera merealisasikan model bisnis untuk meningkatkan kapasitas ekonomi petani. Kapasitas ekonomi petani sangat penting karena nantinya berkaitan dengan akses teknologi informasi dan akses pembiayaan serta permodalan untuk memperkuat pemasarannya. Baca: NTP Pertanian Periode September 2020 Naik Signifikan ""Ini tentang mengorporasikan peani dan nelayan dalam tujuan meningkatkan taraf hidup dalam mewujudkan transfrmasi ekonomi,"" jelasnya.'",Bisnis
1,1,https://www.tribunnews.com/bisnis/2020/10/06/tekan-jokowi-soal-uu-cipta-kerja-35-investor-hijau-ini-dinilai-tidak-dapat-jatah,"
						Tekan Jokowi Soal UU Cipta Kerja, 35 Investor 'Hijau' Ini Dinilai Tidak Dapat Jatah 					","b'Laporan Wartawan Tribunnews.com, Yanuar Riezqi Yovanda TRIBUNNEWS.COM, JAKARTA -\xc2\xa0Sebanyak 35 investor global menulis surat terbuka kepada pemerintahan Presiden Joko Widodo (Jokowi) untuk menyatakan keprihatinan atas perlindungan lingkungan dalam Omnibus Law di Undang-undang (UU) Cipta Kerja. Dalam surat tertulis yang diterima Tribunnews, secara khusus mereka khawatir bahwa perubahan yang diusulkan pada kerangka perizinan, pemantauan kepatuhan lingkungan, konsultasi publik, dan sistem sanksi akan berdampak parah terhadap lingkungan. Menanggapi hal ini, Pengamat pasar modal Hans Kwee menilai semua perusahaan manajer investasi yang melayangkan surat protes itu berusaha menekan Jokowi karena tidak mendapat keuntungan atau jatah dari UU Cipta Kerja. ""Biasa ini isu tekanan kepentingan. Biasa untuk negosiasi investasi,"" ujarnya kepada Tribunnews, Selasa (6/10/2020). Baca: Perbandingan UU Cipta Kerja yang Baru DIsahkan dengan UU Ketenagakerjaan yang Lama Menurut Hans, segala bentuk penawaran ataupun tekanan dalam berbisnis adalah wajar, termasuk dari 35 perusahaan \'hijau\' yang menganut paham investasi ramah lingkungan atau green investment. ""Kan investasi ada syarat yang bisa dinegosiasikan. Mereka green investment,"" katanya. Baca: Daftar Pasal Kontroversial UU Cipta Kerja yang Memicu Amarah Buruh, Pasal-pasal Ini Paling Dimusuhi Sementara itu, dia menambahkan, surat tersebut tidak akan berpengaruh terhadap persepsi investor di pasar modal walaupun pemerintah memang perlu memperhatikan dampak lingkungan. ""Saat ini, (protes itu) belum pengaruh. Kalau masalah lingkungan ya pemerintah perlu memperhatikan aspek lingkungan,"" pungkasnya. Sekadar informasi, berikut daftar 35 investor tersebut:'",Bisnis
2,2,https://www.tribunnews.com/bisnis/2020/10/06/cara-dapatkan-listik-gratis-bulan-oktober-akses-melalui-wwwplncoid-dan-whatsapp-08122-123-123,"
						Cara Dapatkan Listik Gratis Bulan Oktober, Akses Melalui www.pln.co.id dan WhatsApp 08122-123-123 					","b'TRIBUNNEWS.COM - Masyarakat Indonesia dapat menikmati token listrik gratis atau diskon untuk bulan Oktober 2020. Ada dua cara untuk mendapatkannya, pertama pelanggan bisa login ke website resmi www.pln.co.id. Cara kedua dengan mengirimkan pesan via WhatsApp ke nomor 08122-123-123. PLN memberikan token listrik gratis yang bisa dinikmati oleh para pelanggan tertentu di bulan Oktober 2020. Dalam pemberian stimulus Covid-19, Pemerintah lewat PLN ingin meringankan tagihan listrik masyarakat di tengah pandemi. Selain itu, PLN juga memberikan potongan sebesar 50 persen bagi sejumlah pelanggan. Keringanan ini diberikan hanya untuk rumah dengan daya listrik 450 volt ampere (VA). Para pelanggan 450 VA akan mendapatkan token listrik gratis senilai dengan pemakaian tertinggi dalam kurun waktu 3 bulan terakhir. Potongan 50 persen diberikan untuk rumah berdaya listrik 900 VA dihitung dari pemakaian bulanan tertinggi dalam 3 bulan terakhir. Mulanya, pemerintah telah memberikan keringanan listrik atau stimulus Covid-19 selama 3 bulan, yakni selama bulan April hingga Juni 2020 saat pandemi mulai merebak. Baca: Segera Klaim Token Listrik Gratis PLN Bulan Oktober 2020: Login www.pln.co.id atau WA 08122123123'",Bisnis
3,3,https://www.tribunnews.com/bisnis/2020/10/06/perbandingan-uu-cipta-kerja-yang-baru-disahkan-dengan-uu-ketenagakerjaan-yang-lama,"
						Perbandingan UU Cipta Kerja yang Baru DIsahkan dengan UU Ketenagakerjaan yang Lama 					","b'TRIBUNNEWS.COM, JAKARTA -\xc2\xa0 Pemerintah bersama DPR RI resmi mengesahkan Omnibus Law Rancangan Undang Undang (RUU) Cipta Kerja menjadi Undang Undang Cipta Kerja dalam Rapat\xc2\xa0Paripurna DPR RI, yang berakhir Senin (5/10/2020) malam. Sebanyak sembilan fraksi di DPR menyatakan setuju atas pengesahan UU Cipta Kerja ini, sementara dua fraksi lainnya menolak. Dua fraksi tersebut adalah Fraksi Demokrat dan Fraksi PKS. Fraksi Demokrat menggelar aksi walkout dari jalannya Sidang Paripurna. Namum, isi UU Cipta Kerja ini tetap mendapat penolakan keras dari berbagai elemen buruh termasuk dari kalangan serikat pekerja. Sebenarnya apa saja yang membedakan isi pasal UU Cipta Kerja ini dengan UU Ketenagakerjaan yang sebelumnya berlaku,\xc2\xa0 yakni\xc2\xa0Undang-Undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan? Mengutip Kontan, berikut ini perbedaan aturan upah buruh antara omnibus law Cipta Kerja dengan UU 13/2003. Dalam perbandingan ini aturan mengenai upah kerja dalam Omnibus Law Cipta Kerja ini diambil dari draf RUU Cipta Kerja yang disahkan dalam Sidang Paripurna DPR Senin (5/10/2020). Perbandingan aturan mengenai rincian upah buruh di Omnibus Law UU Cipta Kerja dengan UU 13/2003 Pasal 88\xc2\xa0 UU Cipta Kerja\xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0Kebijakan pengupahan meliputi:\xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0\xc2\xa0 a.upah minimum;\xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0\xc2\xa0b.struktur dan skala upah;\xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 \xc2\xa0 c.upah tidak masuk kerja karena berhalangan;'",Bisnis
4,4,https://www.tribunnews.com/bisnis/2020/10/06/protes-risiko-lingkungan-di-uu-cipta-kerja-35-investor-kirim-surat-ke-presiden-jokowi,"
						Protes Risiko Lingkungan di UU Cipta Kerja, 35 Investor Kirim Surat ke Presiden Jokowi 					","b'Laporan Wartawan Tribunnews.com, Yanuar Riezqi Yovanda TRIBUNNEWS.COM, JAKARTA - Investor global yang mengelola aset senilai 4,1 triliun dolar Amerika Serikat (AS) telah memperingatkan Pemerintah Indonesia bahwa UU Cipta Kerja yang disahkan oleh parlemen pada hari Senin kemarin dapat menimbulkan risiko baru bagi hutan tropis negara. Dikutip Reuters, 35 investor mengungkapkan keprihatinan mereka, termasuk Aviva Investors, Legal & General Investment Management, Church of England Pensions Board, manajer aset yang berbasis di Belanda, Robeco, dan manajer aset terbesar di Jepang, Sumitomo Mitsui Trust Asset Management. Baca: Pembahasan RUU Cipta Kerja, Ini Alasan Pimpinan DPR Matikan Mikrofon saat Demokrat Interupsi Baca: Merasa Dibohongi Wakil Rakyat Soal UU Cipta Kerja, Buruh Ancam Mogok Massal, Ada 7 Poin Penolakan \xe2\x80\x9cMeskipun kami menyadari perlunya reformasi hukum bisnis di Indonesia, kami memiliki kekhawatiran tentang dampak negatif dari langkah-langkah perlindungan lingkungan tertentu yang dipengaruhi oleh Omnibus Bill on Job Creation,\xe2\x80\x9d ujar Peter van der Werf, spesialis keterlibatan senior di Robeco dalam pernyataannya, Selasa (6/10/2020). Baca: Dipukul Telak RUU Cipta Kerja Disahkan, Menaker Beri Pesan untuk Karyawan: Hati Saya Bersama Kalian Sebelumnya dengan koalisi Presiden Joko Widodo (Jokowi) yang menguasai 74 persen kursi, parlemen mengesahkan RUU yang menurut pemerintah diperlukan untuk memperbaiki iklim investasi dan merampingkan peraturan di ekonomi terbesar di Asia Tenggara itu. Sementara itu, koalisi 15 kelompok aktivis, termasuk serikat buruh, mengutuk RUU tersebut dan menyerukan pemogokan. Para investor mengatakan mereka khawatir undang-undang tersebut dapat menghambat upaya untuk melindungi hutan Indonesia. Lalu, pada gilirannya akan melemahkan tindakan global untuk mengatasi hilangnya keanekaragaman hayati dan memperlambat perubahan iklim. \xe2\x80\x9cSementara perubahan peraturan yang diusulkan bertujuan untuk meningkatkan investasi asing. Mereka berisiko melanggar standar praktik terbaik internasional yang dimaksudkan untuk mencegah konsekuensi berbahaya yang tidak diinginkan dari kegiatan bisnis yang dapat menghalangi investor dari pasar Indonesia,\xe2\x80\x9d kata surat itu. Dengan kekhawatiran atas kerusakan lingkungan yang meningkat menjadi agenda investor, beberapa manajer aset mulai mengambil sikap yang lebih publik dalam mendesak pemerintah di negara berkembang untuk melindungi alam. Dalam intervensi serupa di bulan Juli, 29 investor yang mengelola 4,6 triliun dolar AS menulis kepada kedutaan besar Brasil untuk menuntut pertemuan guna menyerukan kepada pemerintah sayap kanan Presiden Jair Bolsonaro untuk menghentikan melonjaknya deforestasi di hutan hujan Amazon.'",Bisnis
5,5,https://www.tribunnews.com/bisnis/2020/10/06/kemenkeu-perkirakan-ekonomi-minus-17-persen-pada-akhir-2020,"
						Kemenkeu Perkirakan Ekonomi Minus 1,7 Persen Pada Akhir 2020 					","b'Laporan Wartawan Tribunnews.com, Yanuar Riezqi Yovanda TRIBUNNEWS.COM, JAKARTA - Kementerian Keuangan (Kemenkeu) memperkirakan pertumbuhan ekonomi Indonesia berada di zona merah sepanjang tahun ini. Wakil Menteri Keuangan Suahasil Nazara mengatakan, ekonomi negara diperkirakan ada di kisaran minus 0,6 persen hingga 1,7 persen pada akhir 2020. ""Kami di Kementerian Keuangan memperkirakan pertumbuhan ekonomi Indonesia ada di angka minus 0,6 persen hingga 1,7 persen. Kalau kita memperkirakan seperti ini juga sekalian itu kita melihatnya secara utuh,"" ujarnya dalam acara virtual, Selasa (6/10/2020). Baca: Komisi XI DPR: Program PEN Bakal Dorong Pertumbuhan Ekonomi Kuartal III Menurut dia, Kemenkeu melihat juga secara utuh perbandingan dengan proyeksi ekonomi Indonesia dari beberapa lembaga keuangan dunia. ""Saya bisa menyampaikan banyak sekali institusi-institusi memperhatikan perekonomian Indonesia. Bukan hanya World Bank, ADB (Asian Development Bank), OECD (Organisation for Economic Co-operation and Development), lembaga rating Bloomberg dan seterusnya. Kalau OECD itu memperkirakan Indonesia minus cukup dalam 3,3 persen, IMF (International Monetary Fund) minus 0,3 persen, World Bank nol persen,"" kata Suahasil. Sementara itu, dia menambahkan, variatifnya prediksi ekonomi Indonesia mencerminkan bahwa saat pandemi ini sulit melakukan perkiraan secara tepat. ""Kalau rentangnya dari minus nol koma sekian persen sampai minus 3 persen maka pengertiannya adalah makin susah membuat prediksi yang tepat. Ini menjadi tantangan semua pihak, saya yakin dalam dunia usaha juga kesulitan melihat ekonomi dan ini juga dirasakan seluruh dunia,"" pungkasnya.'",Bisnis
6,6,https://www.tribunnews.com/bisnis/2020/10/06/tanpa-ribet-begini-prosedur-dan-syarat-menambah-daya-listrik-untuk-rumah,"
						Tanpa Ribet, Begini Prosedur dan Syarat Menambah Daya Listrik untuk Rumah 					","b'TRIBUNNEWS.COM - Adanya pasokan listrik menjadi hal yang sangat penting dalam kehidupan kita. Dapat dikatakan, hampir dalam setiap kegiatan yang kita lakukan pasti membutuhkan aliran listrik, baik untuk pekerjaan maupun hiburan. Misalnya, menonton televisi, menggunakan komputer atau laptop, memakai mesin cuci, kulkas, dan sebagainya. Dalam penggunaan listrik, terkait pasokan, ada yang memang sudah sesuai dengan kebutuhan atau sebaliknya. Pernah mengalami tiba-tiba listrik mati atau padam alias \xe2\x80\x9cngejepret\xe2\x80\x9d, padahal tidak ada aliran, konslet, atau rumah tetangga tetap menyala? Mungkin Anda mengalami kekurangan daya listrik. Dalam listrik, memang ada yang disebut dengan daya, alias jumlah kekuatan atau pasokan tenaga listrik yang dialirkan, misalnya 1.300 VA, 2.200 VA dan lain-lain. Semakin besar daya listrik, semakin banyak pula barang-barang elektronik yang bisa Anda gunakan. Begitu krusialnya aliran listrik, beberapa rumah atau kantor ada yang ingin menambah daya agar perangkat yang digunakan di dalamnya bisa stabil ketika dipakai secara bersamaan. Mengenai hal itu, berikut ini adalah cara atau prosedur untuk menambah daya listrik. Ke Halaman 2 ==>'",Bisnis
7,7,https://www.tribunnews.com/bisnis/2020/10/06/hadapi-perubahan-zaman-koperasi-di-indonesia-harus-transformasi-digital,"
						Hadapi Perubahan Zaman, Koperasi di Indonesia Harus Transformasi Digital 					","b'Laporan Wartawan Tribunnews.com, Reynas Abdila TRIBUNNEWS.COM, JAKARTA - Pandemi Covid-19 menuntut koperasi di Indonesia harus bertransformasi dengan perubahan zaman. Sekretaris Kementerian Koperasi dan UKM Rully Indrawan mengatakan, koperasi saat ini dihadapkan perkembangan teknologi digital. ""Mengapa koperasi bisa hidup dan tetap ada di kehidupan masyarakat, karena koperasi mampu beradaptasi dengan perubahan pada lingkungan strategisnya. Kita dipaksa oleh pandemi, untuk menyesuaikan lebih cepat dan progresif,"" kata Rully, Selasa (6/10/2020). Baca: Selain Wamen Ketenagakerjaan, Presiden juga akan Angkat Wamen Koperasi Transformasi koperasi dengan layanan digital yang dimaksud yakni melayani anggota hingga berhubungan dengan mitra bisnis. Menurutnya, layanan digital menjadi alternatif satu-satunya untuk mewujudkan koperasi yang kuat dan memiliki daya saing koperasi. ""Digital layanan bagi para mitra dan anggota harus memiliki karakter yang berbeda. Karena layanan bagi anggota harus mampu menyajikan tingkat partisipasi anggota,"" katanya. Meskipun upaya tersebut bukan hal yang mudah diterapkan karena kondisi koperasi maupun anggota antar daerah memiliki variasi yang tajam. Menurutnya, pemerintah bisa menjadi mediator dan fasilitator yang menjadi bagian penting dari perjalanan sejarah dengan melakukan transformasi digital serta inovasi di lingkungan koperasi. ""Pertemuan seperti ini mustahil di masa lalu. Pertemuan dengan zoom youtube sekarang sederhana dan mudah. Kesimpulannya, koperasi harus hidup dengan kesadaran di lingkungan yang cepat berubah. Transformasi digital harus dilakukan suka dan tidak suka. Inovasi menjadi sangat penting. Koperasi harus jadi bagian penting perjalanan sejarah,"" imbuh dia. KemenkopUKM akan mengakomodasi kebutuhan dan mendukung koperasi apalagi dalam Undang- Undang Cipta Kerja, koperasi masuk dalam klaster UMKM yang ditugasi untuk turut mendinamisasi usaha-usaha yang dilakukan oleh masyarakat.'",Bisnis
8,8,https://www.tribunnews.com/bisnis/2020/10/06/pegadaian-gandeng-karang-taruna-nasional-untuk-geliatkan-bisnis-milenial,"
						Pegadaian Gandeng Karang Taruna Nasional untuk Geliatkan Bisnis Milenial 					","b'Laporan Wartawan Tribunnews Choirul Arifin TRIBUNNEWS.COM, JAKARTA - PT Pegadaian (Persero) berkolaborasi dengan Karang Taruna Nasional untuk mendorong produktivitas milenial dalam mengelola dan menjalankan bisnisnya. Kolaborasi ini ditandai dengan penandatanganan nota kesepahaman oleh Direktur Utama PT Pegadaian (Persero), Kuswiyoto dengan Ketua Umum Karang Taruna Nasional, Didik Mukrianto, di kantor pusat Pegadaian, Senin (5/10/2020). Baca: Pegadaian Raih Predikat Indonesia\xe2\x80\x99s Best Companies To Work for In Asia 2020 Kuswiyoto mengatakan, perjanjian kerja sama antara Pegadaian dengan Karang Taruna Nasional bertujuan untuk meningkatkan pendapatan bagi anggota Karang Taruna sekaligus membantu memutar kembali roda perekonomian terutama sektor UMKM yang terdampak pandemi Covid-19. \xe2\x80\x9cPerjanjian ini menjadi landasan kerja sama dalam meningkatkan kapasitas untuk pemberdayaan dan perluasan anggota UMKM di kalangan Milenial, melalui anggota Karang Taruna Nasional,\xe2\x80\x9d ujar Kuswiyoto. Baca: Pegadaian\xe2\x80\x90Pertamina Bermitra Tangani Sampah Lewat Dua Program Unggulan Ketua Umum Karang Taruna Nasional, Didik Mukrianto, mengatakan, perjanjian kerjasama ini memberikan peluang baru bagi generasi muda dalam mengembangan kemandirian ekonomi dalam bentuk socialpreneur, khususnya bagi mereka yang tergabung dalam Karang Taruna Nasional. Didik menjelaskan, saat ini jumlah kepengurusan Karang Taruna sudah tersebar di seluruh Indonesia, baik di tingkat desa maupun kelurahan. Diharapkan nantinya kerja sama dapat berjalan dengan baik dan menjadi salah satu program pemulihan ekonomi nasional yang sangat diperlukan oleh masyarakat. \xe2\x80\x9cKami melihat konsep dan pola yang dibangun Pegadaian sekarang ini sangat menyentuh dan membantu masyarakat untuk memecahkan masalah ekonomi di lingkungannya. Selain itu PKS yang hari ini ditandatangani menjadi sebuah upaya bagi kami untuk terus mengaplikasi apa yang diharapkan Pegadaian dalam mencarikan solusi bagi masyarakat,\xe2\x80\x9d kata Didik. Saat ini Pegadaian terus mengembangkan sistem keagenan sebagai saluran distribusi. Agen-agen tersebut meliputi agen gadai, agen pembayaran, dan agen pemasar. Keagenan dapat dilakukan oleh perseorangan maupun badan usaha.'",Bisnis
9,9,https://www.tribunnews.com/bisnis/2020/10/06/pemerintah-buka-akses-pembiayaan-dan-pemasaran-perikanan-di-tengah-pandemi,"
						Pemerintah Buka Akses Pembiayaan dan Pemasaran Perikanan di Tengah Pandemi 					","b'Laporan Wartawan Tribunnews.com, Reynas Abdila TRIBUNNEWS.COM, JAKARTA - Deputi Bidang Produksi dan Pemasaran Kemenkop dan UKM Victoria Simanungkalit mengatakan pemerintah terus memberikan dukungan program strategis kepada koperasi dan UMKM khususnya komoditi perikanan. Program strategis itu di antaranya membuka akses pembiayaan yang mudah dan murah bagi nelayan dan pembudidaya perikanan. ""Bagi usaha yang bankable dapat mengakses KUR super mikro dan pinjaman modal kerja LPDB dengan total anggaran Rp 1 triliun,"" kata Victoria saat press conference virtual di Jakarta, Selasa (6/10/2020). Sementara bagi yang unbankable selain bantuan sosial, pemerintah menyiapkan banpres produktif usaha mikro berupa hibah sebesar Rp 2,4 juta. Victoria menambahkan program strategis kedua yakni pengembangan koperasi pangan sebagaimana merespons ancaman krisis yang disampaikan WHO. ""Ketahanan pangan kita cukup lemah, itu akibat petani dan nelayan mengelola dengan skala kecil. Ini menjadi perhatian serius pemerintah untuk mendorong nelayan dan pembudidaya ikan agar bisa menciptakan daya saing produk perikanan,"" tuturnya. Kementerian Koperasi dan UKM menyadari betul pandemi Covid-19 memberikan dampak mendalam bagi nelayan dan pembudidaya ikan dimulai dari sisi hulu seperti meningkatnya biaya produksi yang dikeluarkan dalam hal ini kelangkaan BBM. DI sisi hilir, permasalahan yang kerap ditemui didominasi ketidakpastian penyerapan dan rendahnya daya beli terhadap produk ikan. Sementara penjualan di pasar online saat ini masih sangat terbatas, belum lagi masalah biaya angkut dan logistik yang mahal. ""Kita ketahui bersama perikanan merupakan komoditas terbesar dalam pengembangan koperasi dan UMKM. Indonesia juga menjadi populasi nelayan dan pembudidaya yang besar di dunia yang banyak melibatkan pelaku usaha mikro karena itu menjadi concern pemerintah,"" imbuh Vicky panggilan bekennya. Menurut data KKP, total nelayan mencapai lebih dari 2,3 juta jiwa sedangkan pembudidaya perikanan hampir 4 juta orang di mana 96 persennya termasuk kategori nelayan kecil dan tradisional. Sektor perikanan memiliki peluang pasar domestik dan ekspor yang besar. Hal ini dilihat dari capaian perikanan tangkap khususnya tuna tahun 2017 sebesar 6,5 juta ton dengan estimasi stok 12,5 juta ton dan target 1,5 mliar dolar AS tahun 2024. Sementara sektor budidaya mempunyai target ekspor udang dari 1,2 miliar dolar AS tahun 2018 menjadi 3 miliar dolar AS di tahun 2020.'",Bisnis
